language,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output
English,18674325,18362490,1.6698595531565399,52240227,50984484,2.4037854965676164
Portuguese,778727,677051,13.056693809255362,2857697,2409379,15.688087295469044
Russian,694591,591148,14.89264905534336,2216266,1879076,15.214328965927375
Spanish,628085,563913,10.217088451403871,2189704,1899411,13.257179965876666
unknown,379152,365654,3.5600497953327426,1557459,1476566,5.193908796315023
Italian,303118,262665,13.345627775321821,1500982,1231117,17.979229597690047
German,427829,377905,11.66914818771051,1327923,1155046,13.018601229137532
French,441864,404867,8.372938279651658,1247465,1115190,10.603503905921208
Korean,135542,121312,10.498590842690826,335789,294112,12.411663276640986
Chinese,103335,124709,-20.68418251318527,365979,369069,-0.8443107391407704
Polish,69831,66898,4.200140338818003,212265,197925,6.755706310508091
Japanese,56684,59674,-5.274857102533343,203677,199585,2.009063369943587
Ukrainian,63242,52662,16.72938869738465,154726,125326,19.001331385804583
Indonesian,57962,59244,-2.2117939339567303,126435,120451,4.732866690394274
Arabic,44563,49830,-11.81922222471557,111147,113544,-2.156603417096278
Turkish,45369,38692,14.717097577641121,97964,80964,17.353313462088114
Vietnamese,65218,53654,17.731301174522372,76407,62210,18.580758307484917
Latin,13371,12812,4.180689552015556,104908,98885,5.741220879246578
Dutch,29653,30188,-1.8042019357231984,62726,61612,1.775978063323024
Danish,25142,25154,-0.04772889984885848,61745,59389,3.815693578427403
Greek,27149,26900,0.9171608530700947,59502,53663,9.813115525528554
Swedish,22497,21268,5.462950615637641,57308,51637,9.895651566971452
Czech,12184,12722,-4.415627051871307,54806,55269,-0.8447980148158961
Tsonga,8000,7711,3.6125,57462,55480,3.4492360168459157
Hungarian,17364,17522,-0.9099285878829763,47536,46133,2.9514473241332886
Scots,6760,6547,3.1508875739644973,56993,55467,2.6775218009229205
Serbian,7377,6458,12.457638606479598,53368,46064,13.686104032378953
Finnish,10298,9915,3.7191687706350747,50133,47580,5.092454072168033
Corsican,4152,3646,12.1868978805395,47858,39064,18.375193280120357
Romanian,7369,7045,4.396797394490433,40114,36962,7.857605823403301
Slovak,7447,7427,0.26856452262656105,39106,34124,12.739733033294124
Persian,11495,13350,-16.137451065680732,33456,37433,-11.887254901960784
Bulgarian,16012,15074,5.858106420184861,25573,22712,11.187580651468345
Galician,7011,6623,5.534160604763942,34093,30456,10.667879036752412
Esperanto,5226,4659,10.849598163030999,34806,29637,14.850887777969316
Hawaiian,3665,3238,11.65075034106412,35432,31143,12.104876947392189
Hebrew,15548,18863,-21.321070234113712,17910,20506,-14.49469570072585
Norwegian,4182,4118,1.530368244858919,28042,25473,9.161258112830755
Occitan,1703,1566,8.044627128596595,25445,21968,13.664767144822166
Malay,3315,3182,4.012066365007541,23509,22076,6.095537879110128
Croatian,4249,4139,2.588844433984467,20985,19879,5.270431260424113
Catalan,5697,5480,3.809022292434615,18124,17103,5.633414257338336
Thai,4746,6495,-36.852085967130215,17400,21131,-21.442528735632184
Norwegian Nynorsk,3528,3334,5.498866213151928,15248,13915,8.742130115424974
Malagasy,2383,2243,5.874947545111205,15331,13405,12.562781292805427
Guarani,1287,1197,6.993006993006993,16423,15681,4.518053948730439
Volapük,796,765,3.8944723618090453,12778,11882,7.012051964313664
Slovenian,3215,3234,-0.5909797822706065,9613,9336,2.881514615624675
Hindi,5838,4930,15.553271668379582,6930,6810,1.7316017316017316
Macedonian,699,589,15.736766809728183,11187,9522,14.88334674175382
Bosnian,3604,3752,-4.1065482796892345,8063,7787,3.4230435321840504
Uzbek,3375,3397,-0.6518518518518519,7882,7541,4.326313118497843
Tagalog,1094,1067,2.4680073126142594,9997,9119,8.78263479043713
Afrikaans,1530,1535,-0.32679738562091504,9404,9186,2.3181624840493407
Kinyarwanda,1374,1354,1.455604075691412,9541,8844,7.3053139083953464
Seselwa Creole French,5161,5069,1.7826002712652587,5619,5418,3.5771489588894823
Swahili,3255,3195,1.8433179723502304,7284,7077,2.841845140032949
Somali,1877,1809,3.6228023441662227,8318,7879,5.277710988218321
Basque,719,686,4.589707927677329,8244,7344,10.91703056768559
Quechua,967,859,11.168562564632886,7323,6521,10.951795712139834
Latvian,1647,1690,-2.610807528840316,6518,6333,2.838293955200982
Luxembourgish,691,621,10.130246020260492,7028,6448,8.252703471826978
Manx,723,732,-1.2448132780082988,6945,6819,1.8142548596112311
Breton,805,770,4.3478260869565215,6612,6022,8.923169993950394
Sanskrit,660,639,3.1818181818181817,6680,6293,5.793413173652695
Bislama,1667,1572,5.698860227954409,5548,5329,3.9473684210526314
Interlingua,680,630,7.352941176470588,6418,5630,12.277968214397008
Ganda,2474,2320,6.224737267582862,4529,4413,2.5612718039302274
Interlingue,574,537,6.445993031358885,6270,5920,5.582137161084529
Haitian Creole,498,469,5.823293172690763,6073,5500,9.435205005763214
Welsh,1682,1609,4.340071343638526,4745,4584,3.39304531085353
Scottish Gaelic,1302,1223,6.067588325652841,4810,4417,8.170478170478171
Morisyen,300,263,12.333333333333334,5789,5212,9.967179132838142
Samoan,619,541,12.60096930533118,5434,4838,10.96797938903202
Waray,793,780,1.639344262295082,5195,5001,3.734359961501444
Tatar,181,180,0.5524861878453039,5619,5056,10.01957643708845
Fijian,267,264,1.1235955056179776,5442,5128,5.769937522969497
Klingon,480,468,2.5,5169,4597,11.06597020700329
Estonian,984,970,1.4227642276422765,4587,4134,9.87573577501635
Romansh,639,612,4.225352112676056,4614,4030,12.657130472475076
Tongan,241,213,11.618257261410788,4817,4370,9.279634627361428
Xhosa,220,218,0.9090909090909091,4764,4610,3.232577665827036
Wolof,701,705,-0.5706134094151213,4280,4159,2.8271028037383177
Western Frisian,719,696,3.198887343532684,4249,3962,6.754530477759473
Bangla,872,1406,-61.23853211009175,3959,5662,-43.015913109371056
Irish,713,696,2.3842917251051894,3769,3499,7.16370390023879
Faroese,421,421,0.0,3868,3805,1.6287487073422957
Nyanja,368,364,1.0869565217391304,3786,3583,5.361859482303222
Kazakh,499,468,6.212424849699399,3637,3122,14.160021996150673
Lingala,88,80,9.090909090909092,3900,3580,8.205128205128204
Southern Sotho,382,375,1.8324607329842932,3340,3233,3.2035928143712575
Afar,1350,1398,-3.5555555555555554,2370,2193,7.468354430379747
Aymara,317,301,5.047318611987381,3134,2728,12.954690491384811
Oromo,847,837,1.1806375442739079,2545,2411,5.265225933202357
zzp,488,477,2.2540983606557377,2886,2788,3.3957033957033955
Kalaallisut,284,277,2.464788732394366,3086,2949,4.439403758911212
Māori,798,770,3.508771929824561,2543,2348,7.66810853322847
Hausa,323,292,9.597523219814242,2892,2633,8.955739972337483
Tswana,236,232,1.694915254237288,2941,2884,1.9381162869772186
Shona,161,152,5.590062111801243,2832,2642,6.709039548022599
Azerbaijani,118,108,8.474576271186441,2823,2318,17.888770811193766
Tajik,243,223,8.23045267489712,2693,2111,21.61158559227627
Albanian,300,297,1.0,2409,2385,0.9962640099626401
Icelandic,235,232,1.2765957446808511,2403,2312,3.7869330004161466
Khasi,247,249,-0.8097165991902834,2343,2296,2.0059752454118653
Kyrgyz,478,445,6.903765690376569,2077,1847,11.073663938372652
Akan,240,231,3.75,2244,2198,2.049910873440285
Lithuanian,123,124,-0.8130081300813008,2305,2225,3.470715835140998
Maltese,61,58,4.918032786885246,2274,2244,1.3192612137203166
Nauru,268,273,-1.8656716417910448,1912,1845,3.50418410041841
Javanese,205,209,-1.951219512195122,1971,1753,11.060375443937088
Yoruba,322,281,12.732919254658386,1630,1454,10.797546012269938
Cebuano,164,164,0.0,1769,1610,8.988128886376485
Uyghur,229,251,-9.606986899563319,1685,1506,10.623145400593472
Belarusian,88,80,9.090909090909092,1773,1607,9.362662154540327
Igbo,57,50,12.280701754385966,1404,1192,15.0997150997151
Swati,238,233,2.100840336134454,1145,1120,2.183406113537118
Turkmen,65,66,-1.5384615384615385,1296,1146,11.574074074074074
Tigrinya,307,308,-0.3257328990228013,1036,1027,0.8687258687258688
Hmong,110,90,18.181818181818183,1165,980,15.879828326180258
Mongolian,64,59,7.8125,986,862,12.57606490872211
Sinhala,169,234,-38.46153846153846,873,1128,-29.209621993127147
Amharic,260,277,-6.538461538461538,771,810,-5.058365758754864
Marathi,773,825,-6.727037516170763,223,222,0.4484304932735426
Sundanese,44,45,-2.272727272727273,809,801,0.9888751545117429
Bashkir,25,24,4.0,819,673,17.826617826617827
Rundi,42,41,2.380952380952381,708,654,7.627118644067797
Venda,39,40,-2.5641025641025643,496,438,11.693548387096774
Urdu,97,121,-24.742268041237114,320,366,-14.375
Lao,24,28,-16.666666666666668,358,392,-9.497206703910615
Armenian,73,177,-142.46575342465752,289,329,-13.84083044982699
Tibetan,18,34,-88.88888888888889,276,322,-16.666666666666668
Zulu,26,29,-11.538461538461538,264,263,0.3787878787878788
Cherokee,262,264,-0.7633587786259542,20,19,5.0
Pashto,46,56,-21.73913043478261,221,252,-14.027149321266968
Abkhazian,9,6,33.333333333333336,177,175,1.1299435028248588
Zhuang,15,15,0.0,154,139,9.74025974025974
xx,40,41,-2.5,121,114,5.785123966942149
Sindhi,24,27,-12.5,132,130,1.5151515151515151
